sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
0,1,Avisen,prefix,that_no-gap_subj,7.908231258392334,Wh,Norwegian
0,2,rapporterte,prefix,that_no-gap_subj,8.255854606628418,Wh,Norwegian
0,3,at,that,that_no-gap_subj,1.0328900814056396,Wh,Norwegian
0,4,avtalen,subj,that_no-gap_subj,8.405000686645508,Wh,Norwegian
0,5,vil,verb,that_no-gap_subj,4.371600151062012,Wh,Norwegian
0,6,forsterke,verb,that_no-gap_subj,7.725515365600586,Wh,Norwegian
0,7,det,obj,that_no-gap_subj,3.3341541290283203,Wh,Norwegian
0,8,politiske,obj,that_no-gap_subj,2.9485132694244385,Wh,Norwegian
0,9,samspillet,obj,that_no-gap_subj,7.60186243057251,Wh,Norwegian
0,10,etter,end,that_no-gap_subj,7.700392246246338,Wh,Norwegian
0,11,valget,end,that_no-gap_subj,3.2524631023406982,Wh,Norwegian
0,13,.,end,that_no-gap_subj,1.1039550304412842,Wh,Norwegian
0,14,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
1,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
1,1,Han,prefix,that_no-gap_subj,2.869272232055664,Wh,Norwegian
1,2,fant,prefix,that_no-gap_subj,6.485674858093262,Wh,Norwegian
1,3,ut,prefix,that_no-gap_subj,2.2601664066314697,Wh,Norwegian
1,4,at,that,that_no-gap_subj,0.16837385296821594,Wh,Norwegian
1,5,brevet,subj,that_no-gap_subj,7.896161079406738,Wh,Norwegian
1,6,inneholdt,verb,that_no-gap_subj,2.2282304763793945,Wh,Norwegian
1,7,kritikk,obj,that_no-gap_subj,9.0744047164917,Wh,Norwegian
1,8,av,obj,that_no-gap_subj,1.014567494392395,Wh,Norwegian
1,9,loven,obj,that_no-gap_subj,7.258461952209473,Wh,Norwegian
1,10,forrige,end,that_no-gap_subj,12.974502563476562,Wh,Norwegian
1,11,fredag,end,that_no-gap_subj,10.290539741516113,Wh,Norwegian
1,13,.,end,that_no-gap_subj,1.7081129550933838,Wh,Norwegian
1,14,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
2,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
2,1,Martha,prefix,that_no-gap_subj,11.131634712219238,Wh,Norwegian
2,2,oppdaget,prefix,that_no-gap_subj,8.949462890625,Wh,Norwegian
2,3,at,that,that_no-gap_subj,1.0670396089553833,Wh,Norwegian
2,4,opplysningene,subj,that_no-gap_subj,10.319355010986328,Wh,Norwegian
2,5,vil,verb,that_no-gap_subj,7.650697708129883,Wh,Norwegian
2,6,bekrefte,verb,that_no-gap_subj,8.106128692626953,Wh,Norwegian
2,7,mistanken,obj,that_no-gap_subj,5.2006635665893555,Wh,Norwegian
2,8,under,end,that_no-gap_subj,8.506752014160156,Wh,Norwegian
2,9,rettssaken,end,that_no-gap_subj,2.3768723011016846,Wh,Norwegian
2,11,.,end,that_no-gap_subj,1.0210292339324951,Wh,Norwegian
2,12,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
3,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
3,1,Journalisten,prefix,that_no-gap_subj,10.71436595916748,Wh,Norwegian
3,2,kan,prefix,that_no-gap_subj,5.950753688812256,Wh,Norwegian
3,3,gjette,prefix,that_no-gap_subj,10.220415115356445,Wh,Norwegian
3,4,at,that,that_no-gap_subj,4.935593605041504,Wh,Norwegian
3,5,intervjuet,subj,that_no-gap_subj,10.247252464294434,Wh,Norwegian
3,6,kunne,verb,that_no-gap_subj,6.840377330780029,Wh,Norwegian
3,7,forårsake,verb,that_no-gap_subj,8.762113571166992,Wh,Norwegian
3,8,kontrovers,obj,that_no-gap_subj,8.86743450164795,Wh,Norwegian
3,9,mellom,end,that_no-gap_subj,3.9528441429138184,Wh,Norwegian
