sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,English
0,1,The,prefix,that_no-gap_subj,1.6776610612869263,Wh,English
0,2,newspaper,prefix,that_no-gap_subj,7.920547962188721,Wh,English
0,3,reported,prefix,that_no-gap_subj,4.029288291931152,Wh,English
0,4,that,that,that_no-gap_subj,0.666861891746521,Wh,English
0,5,the,subj,that_no-gap_subj,1.4774094820022583,Wh,English
0,6,agreement,subj,that_no-gap_subj,6.434237480163574,Wh,English
0,7,will,verb,that_no-gap_subj,4.1518096923828125,Wh,English
0,8,strengthen,verb,that_no-gap_subj,8.492427825927734,Wh,English
0,9,the,obj,that_no-gap_subj,0.6627928018569946,Wh,English
0,10,political,obj,that_no-gap_subj,5.4795026779174805,Wh,English
0,11,interaction,obj,that_no-gap_subj,11.695459365844727,Wh,English
0,12,after,end,that_no-gap_subj,8.560839653015137,Wh,English
0,13,the,end,that_no-gap_subj,0.6986032724380493,Wh,English
0,14,election,end,that_no-gap_subj,2.363485097885132,Wh,English
0,16,.,end,that_no-gap_subj,1.3841263055801392,Wh,English
0,17,<eos>,end,that_no-gap_subj,0.0,Wh,English
1,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,English
1,1,He,prefix,that_no-gap_subj,3.2915287017822266,Wh,English
1,2,found,prefix,that_no-gap_subj,6.63083028793335,Wh,English
1,3,out,prefix,that_no-gap_subj,3.3090529441833496,Wh,English
1,4,that,that,that_no-gap_subj,1.3536772727966309,Wh,English
1,5,the,subj,that_no-gap_subj,1.6041370630264282,Wh,English
1,6,letter,subj,that_no-gap_subj,6.66586446762085,Wh,English
1,7,contained,verb,that_no-gap_subj,3.269162893295288,Wh,English
1,8,critique,obj,that_no-gap_subj,13.440159797668457,Wh,English
1,9,of,obj,that_no-gap_subj,0.4851077198982239,Wh,English
1,10,the,obj,that_no-gap_subj,1.2947545051574707,Wh,English
1,11,law,obj,that_no-gap_subj,5.33455228805542,Wh,English
1,12,last,end,that_no-gap_subj,13.923562049865723,Wh,English
1,13,Friday,end,that_no-gap_subj,6.974172115325928,Wh,English
1,15,.,end,that_no-gap_subj,2.4503250122070312,Wh,English
1,16,<eos>,end,that_no-gap_subj,0.0,Wh,English
2,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,English
2,1,Martha,prefix,that_no-gap_subj,10.68934154510498,Wh,English
2,2,discovered,prefix,that_no-gap_subj,7.835373878479004,Wh,English
2,3,that,that,that_no-gap_subj,1.110507607460022,Wh,English
2,4,the,subj,that_no-gap_subj,2.038938522338867,Wh,English
2,5,information,subj,that_no-gap_subj,7.88410758972168,Wh,English
2,6,will,verb,that_no-gap_subj,8.632695198059082,Wh,English
2,7,confirm,verb,that_no-gap_subj,7.647047519683838,Wh,English
2,8,the,obj,that_no-gap_subj,1.5131480693817139,Wh,English
2,9,suspicion,obj,that_no-gap_subj,7.346566200256348,Wh,English
2,10,during,end,that_no-gap_subj,8.380696296691895,Wh,English
2,11,the,end,that_no-gap_subj,0.8547762036323547,Wh,English
2,12,trial,end,that_no-gap_subj,3.1007957458496094,Wh,English
2,14,.,end,that_no-gap_subj,0.804513156414032,Wh,English
2,15,<eos>,end,that_no-gap_subj,0.0,Wh,English
3,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,English
3,1,The,prefix,that_no-gap_subj,1.6776610612869263,Wh,English
3,2,journalist,prefix,that_no-gap_subj,10.371672630310059,Wh,English
3,3,can,prefix,that_no-gap_subj,6.266862869262695,Wh,English
3,4,guess,prefix,that_no-gap_subj,8.525508880615234,Wh,English
3,5,that,that,that_no-gap_subj,4.092850685119629,Wh,English
3,6,the,subj,that_no-gap_subj,1.514505386352539,Wh,English
3,7,interview,subj,that_no-gap_subj,9.018166542053223,Wh,English
3,8,could,verb,that_no-gap_subj,5.133051872253418,Wh,English
3,9,cause,verb,that_no-gap_subj,4.128702640533447,Wh,English
3,10,controversy,obj,that_no-gap_subj,6.460701942443848,Wh,English
3,11,between,end,that_no-gap_subj,6.241159439086914,Wh,English
3,12,people,end,that_no-gap_subj,4.443068504333496,Wh,English
3,14,.,end,that_no-gap_subj,3.0357589721679688,Wh,English
3,15,<eos>,end,that_no-gap_subj,0.0,Wh,English
4,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,English
