sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
0,1,The,prefix,that_no-gap_subj,6.396185874938965,Wh,English
0,2,newspaper,prefix,that_no-gap_subj,9.482665061950684,Wh,English
0,3,reported,prefix,that_no-gap_subj,4.742133617401123,Wh,English
0,4,that,that,that_no-gap_subj,0.38950279355049133,Wh,English
0,5,the,subj,that_no-gap_subj,1.4977368116378784,Wh,English
0,6,agreement,subj,that_no-gap_subj,7.589550971984863,Wh,English
0,7,will,verb,that_no-gap_subj,6.400599002838135,Wh,English
0,8,strengthen,verb,that_no-gap_subj,6.909955024719238,Wh,English
0,9,the,obj,that_no-gap_subj,0.4542945921421051,Wh,English
0,10,political,obj,that_no-gap_subj,5.758659362792969,Wh,English
0,11,interaction,obj,that_no-gap_subj,8.975044250488281,Wh,English
0,12,after,end,that_no-gap_subj,8.819478034973145,Wh,English
0,13,the,end,that_no-gap_subj,0.6237499117851257,Wh,English
0,14,election,end,that_no-gap_subj,3.988558053970337,Wh,English
0,16,.,end,that_no-gap_subj,1.6653352975845337,Wh,English
0,17,<eos>,end,that_no-gap_subj,0.0,Wh,English
1,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
1,1,He,prefix,that_no-gap_subj,7.99182653427124,Wh,English
1,2,found,prefix,that_no-gap_subj,5.848431587219238,Wh,English
1,3,out,prefix,that_no-gap_subj,3.8157601356506348,Wh,English
1,4,that,that,that_no-gap_subj,0.7377784848213196,Wh,English
1,5,the,subj,that_no-gap_subj,1.4446280002593994,Wh,English
1,6,letter,subj,that_no-gap_subj,7.2865095138549805,Wh,English
1,7,contained,verb,that_no-gap_subj,4.314367771148682,Wh,English
1,8,critique,obj,that_no-gap_subj,14.818596839904785,Wh,English
1,9,of,obj,that_no-gap_subj,0.20850077271461487,Wh,English
1,10,the,obj,that_no-gap_subj,0.87758469581604,Wh,English
1,11,law,obj,that_no-gap_subj,5.412172317504883,Wh,English
1,12,last,end,that_no-gap_subj,13.106184959411621,Wh,English
1,13,Friday,end,that_no-gap_subj,8.397343635559082,Wh,English
1,15,.,end,that_no-gap_subj,1.4728556871414185,Wh,English
1,16,<eos>,end,that_no-gap_subj,0.0,Wh,English
2,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
2,1,Martha,prefix,that_no-gap_subj,13.338371276855469,Wh,English
2,2,discovered,prefix,that_no-gap_subj,11.46102237701416,Wh,English
2,3,that,that,that_no-gap_subj,1.7404930591583252,Wh,English
2,4,the,subj,that_no-gap_subj,1.526399850845337,Wh,English
2,5,information,subj,that_no-gap_subj,7.689218521118164,Wh,English
2,6,will,verb,that_no-gap_subj,6.134827136993408,Wh,English
2,7,confirm,verb,that_no-gap_subj,8.03805160522461,Wh,English
2,8,the,obj,that_no-gap_subj,1.1636146306991577,Wh,English
2,9,suspicion,obj,that_no-gap_subj,9.169882774353027,Wh,English
2,10,during,end,that_no-gap_subj,9.146143913269043,Wh,English
2,11,the,end,that_no-gap_subj,0.7240554690361023,Wh,English
2,12,trial,end,that_no-gap_subj,2.8944764137268066,Wh,English
2,14,.,end,that_no-gap_subj,0.8389307260513306,Wh,English
2,15,<eos>,end,that_no-gap_subj,0.0,Wh,English
3,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
3,1,The,prefix,that_no-gap_subj,6.396185874938965,Wh,English
3,2,journalist,prefix,that_no-gap_subj,10.248095512390137,Wh,English
3,3,can,prefix,that_no-gap_subj,6.0128607749938965,Wh,English
3,4,guess,prefix,that_no-gap_subj,8.303221702575684,Wh,English
3,5,that,that,that_no-gap_subj,2.621971368789673,Wh,English
3,6,the,subj,that_no-gap_subj,1.1459124088287354,Wh,English
3,7,interview,subj,that_no-gap_subj,7.98343563079834,Wh,English
3,8,could,verb,that_no-gap_subj,4.220039367675781,Wh,English
3,9,cause,verb,that_no-gap_subj,5.843045711517334,Wh,English
3,10,controversy,obj,that_no-gap_subj,6.729379177093506,Wh,English
3,11,between,end,that_no-gap_subj,5.307135581970215,Wh,English
3,12,people,end,that_no-gap_subj,4.393462181091309,Wh,English
3,14,.,end,that_no-gap_subj,1.9684962034225464,Wh,English
3,15,<eos>,end,that_no-gap_subj,0.0,Wh,English
4,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
4,1,Greta,prefix,that_no-gap_subj,14.73910140991211,Wh,English
4,2,told,prefix,that_no-gap_subj,10.302179336547852,Wh,English
4,3,me,prefix,that_no-gap_subj,4.0127105712890625,Wh,English
4,4,that,that,that_no-gap_subj,1.0549250841140747,Wh,English
4,5,the,subj,that_no-gap_subj,1.9316025972366333,Wh,English
4,6,assembly,subj,that_no-gap_subj,10.823426246643066,Wh,English
4,7,would,verb,that_no-gap_subj,3.0701098442077637,Wh,English
4,8,change,verb,that_no-gap_subj,6.971705436706543,Wh,English
4,9,the,obj,that_no-gap_subj,1.4844025373458862,Wh,English
4,10,laws,obj,that_no-gap_subj,4.98185920715332,Wh,English
4,11,that,end,that_no-gap_subj,3.7295117378234863,Wh,English
4,12,year,end,that_no-gap_subj,6.590928077697754,Wh,English
4,14,.,end,that_no-gap_subj,1.1306384801864624,Wh,English
4,15,<eos>,end,that_no-gap_subj,0.0,Wh,English
5,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
5,1,Kevin,prefix,that_no-gap_subj,11.711213111877441,Wh,English
5,2,heard,prefix,that_no-gap_subj,12.543305397033691,Wh,English
5,3,that,that,that_no-gap_subj,2.9297337532043457,Wh,English
5,4,the,subj,that_no-gap_subj,1.3223795890808105,Wh,English
5,5,head,subj,that_no-gap_subj,7.058748245239258,Wh,English
5,6,sold,verb,that_no-gap_subj,10.743544578552246,Wh,English
5,7,the,obj,that_no-gap_subj,2.8973116874694824,Wh,English
5,8,company,obj,that_no-gap_subj,4.298371315002441,Wh,English
5,9,to,end,that_no-gap_subj,1.2837767601013184,Wh,English
5,10,his,end,that_no-gap_subj,3.528790235519409,Wh,English
5,11,brother,end,that_no-gap_subj,2.901339292526245,Wh,English
5,13,.,end,that_no-gap_subj,2.1674752235412598,Wh,English
5,14,<eos>,end,that_no-gap_subj,0.0,Wh,English
6,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
6,1,Peter,prefix,that_no-gap_subj,9.94003677368164,Wh,English
6,2,brought,prefix,that_no-gap_subj,10.060460090637207,Wh,English
6,3,up,prefix,that_no-gap_subj,2.995178699493408,Wh,English
6,4,that,that,that_no-gap_subj,5.443266868591309,Wh,English
6,5,the,subj,that_no-gap_subj,2.494377613067627,Wh,English
6,6,union,subj,that_no-gap_subj,7.6202287673950195,Wh,English
6,7,signed,verb,that_no-gap_subj,7.842928409576416,Wh,English
6,8,the,obj,that_no-gap_subj,1.9182428121566772,Wh,English
6,9,campaign,obj,that_no-gap_subj,10.304105758666992,Wh,English
6,10,about,end,that_no-gap_subj,7.076042175292969,Wh,English
6,11,the,end,that_no-gap_subj,1.655514121055603,Wh,English
6,12,reforms,end,that_no-gap_subj,8.144929885864258,Wh,English
6,14,.,end,that_no-gap_subj,1.8230749368667603,Wh,English
6,15,<eos>,end,that_no-gap_subj,0.0,Wh,English
7,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
7,1,The,prefix,that_no-gap_subj,6.396185874938965,Wh,English
7,2,residents,prefix,that_no-gap_subj,9.789419174194336,Wh,English
7,3,had,prefix,that_no-gap_subj,4.508522987365723,Wh,English
7,4,mentioned,prefix,that_no-gap_subj,9.733931541442871,Wh,English
7,5,that,that,that_no-gap_subj,1.6280871629714966,Wh,English
7,6,the,subj,that_no-gap_subj,1.4949947595596313,Wh,English
7,7,building,subj,that_no-gap_subj,5.527956962585449,Wh,English
7,8,was,verb,that_no-gap_subj,0.6648423671722412,Wh,English
7,9,missing,verb,that_no-gap_subj,8.215057373046875,Wh,English
7,10,the,obj,that_no-gap_subj,3.4945168495178223,Wh,English
7,11,address,obj,that_no-gap_subj,8.711893081665039,Wh,English
7,12,up,end,that_no-gap_subj,8.009443283081055,Wh,English
7,13,until,end,that_no-gap_subj,2.889270305633545,Wh,English
7,14,then,end,that_no-gap_subj,4.502486705780029,Wh,English
7,16,.,end,that_no-gap_subj,0.47846558690071106,Wh,English
7,17,<eos>,end,that_no-gap_subj,0.0,Wh,English
8,0,<bos>,bos,that_no-gap_subj,0.0,Wh,English
8,1,The,prefix,that_no-gap_subj,6.396185874938965,Wh,English
8,2,administration,prefix,that_no-gap_subj,10.550917625427246,Wh,English
8,3,explained,prefix,that_no-gap_subj,9.307104110717773,Wh,English
8,4,that,that,that_no-gap_subj,0.8850924968719482,Wh,English
8,5,the,subj,that_no-gap_subj,1.022524356842041,Wh,English
8,6,immigration,subj,that_no-gap_subj,9.046308517456055,Wh,English
8,7,demanded,verb,that_no-gap_subj,10.05958366394043,Wh,English
