"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
0,"no-gap","zero-comp",-0.5,2.11274909973145,0.191969760830892,"RC","Norwegian","Norwegian - RC","GPT2"
0,"no-gap","zero-comp",-0.5,2.97062039375305,0.182455669237137,"Wh","English","English - Wh","GPT2"
0,"no-gap","zero-comp",-0.5,3.14520263671875,0.16663599484625,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"no-gap","decl-comp",-0.5,-0.0288982391357422,0.142643292740519,"RC","Norwegian","Norwegian - RC","GPT2"
0,"no-gap","decl-comp",-0.5,0.642911911010742,0.123138183893137,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"no-gap","decl-comp",-0.5,0.886620044708252,0.122762307596969,"Wh","English","English - Wh","GPT2"
0,"no-gap","wh-comp",-0.5,-0.405420660972597,0.0900829787527125,"Wh","English","English - Wh","GPT2"
0,"no-gap","wh-comp",-0.5,-0.218839645385742,0.0830646313953803,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"no-gap","wh-comp",-0.5,0.156341552734375,0.111697610945563,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","zero-comp",0.5,-4.09823846817017,0.191969760830892,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","zero-comp",0.5,-3.76162910461426,0.16663599484625,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"gap","zero-comp",0.5,-0.185579478740692,0.182455669237137,"Wh","English","English - Wh","GPT2"
0,"gap","decl-comp",0.5,-4.62033176422119,0.142643292740519,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","decl-comp",0.5,-3.63595676422119,0.123138183893137,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"gap","decl-comp",0.5,-1.18510317802429,0.122762307596969,"Wh","English","English - Wh","GPT2"
0,"gap","wh-comp",0.5,-0.450111269950867,0.0900829787527125,"Wh","English","English - Wh","GPT2"
0,"gap","wh-comp",0.5,0.12735652923584,0.111697610945563,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","wh-comp",0.5,0.139064788818359,0.0830646313953803,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"no-gap","zero-comp",-0.5,2.59714508056641,0.191969760830892,"RC","Norwegian","Norwegian - RC","GPT2"
1,"no-gap","zero-comp",-0.5,3.59480094909668,0.182455669237137,"Wh","English","English - Wh","GPT2"
1,"no-gap","zero-comp",-0.5,3.8225564956665,0.16663599484625,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"no-gap","decl-comp",-0.5,-0.0248985290527326,0.142643292740519,"RC","Norwegian","Norwegian - RC","GPT2"
1,"no-gap","decl-comp",-0.5,0.0861148834228516,0.123138183893137,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"no-gap","decl-comp",-0.5,0.674449920654297,0.122762307596969,"Wh","English","English - Wh","GPT2"
1,"no-gap","wh-comp",-0.5,0.306090354919434,0.0830646313953803,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"no-gap","wh-comp",-0.5,0.446144104003906,0.111697610945563,"RC","Norwegian","Norwegian - RC","GPT2"
1,"no-gap","wh-comp",-0.5,1.14991557598114,0.0900829787527125,"Wh","English","English - Wh","GPT2"
1,"gap","zero-comp",0.5,-5.11264753341675,0.191969760830892,"RC","Norwegian","Norwegian - RC","GPT2"
1,"gap","zero-comp",0.5,-2.852867603302,0.182455669237137,"Wh","English","English - Wh","GPT2"
1,"gap","zero-comp",0.5,-1.27739572525024,0.16663599484625,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"gap","decl-comp",0.5,-4.08423805236817,0.122762307596969,"Wh","English","English - Wh","GPT2"
1,"gap","decl-comp",0.5,-2.88589572906494,0.123138183893137,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"gap","decl-comp",0.5,-2.26423692703247,0.142643292740519,"RC","Norwegian","Norwegian - RC","GPT2"
1,"gap","wh-comp",0.5,-1.18385314941406,0.0900829787527125,"Wh","English","English - Wh","GPT2"
1,"gap","wh-comp",0.5,-0.571109771728516,0.111697610945563,"RC","Norwegian","Norwegian - RC","GPT2"
1,"gap","wh-comp",0.5,0.548282623291016,0.0830646313953803,"Wh","Norwegian","Norwegian - Wh","GPT2"
2,"no-gap","zero-comp",-0.5,2.48844194412231,0.182455669237137,"Wh","English","English - Wh","GPT2"
2,"no-gap","zero-comp",-0.5,3.76008319854736,0.191969760830892,"RC","Norwegian","Norwegian - RC","GPT2"
