sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
0,1,Avisen,prefix,that_no-gap_subj,8.353897094726562,Wh,Norwegian
0,2,rapporterte,prefix,that_no-gap_subj,6.971570014953613,Wh,Norwegian
0,3,at,that,that_no-gap_subj,1.6265872716903687,Wh,Norwegian
0,4,avtalen,subj,that_no-gap_subj,8.430974960327148,Wh,Norwegian
0,5,vil,verb,that_no-gap_subj,6.777207374572754,Wh,Norwegian
0,6,forsterke,verb,that_no-gap_subj,6.744171142578125,Wh,Norwegian
0,7,det,obj,that_no-gap_subj,3.816318988800049,Wh,Norwegian
0,8,politiske,obj,that_no-gap_subj,3.7194294929504395,Wh,Norwegian
0,9,samspillet,obj,that_no-gap_subj,6.096707344055176,Wh,Norwegian
0,10,etter,end,that_no-gap_subj,8.341717720031738,Wh,Norwegian
0,11,valget,end,that_no-gap_subj,4.761289596557617,Wh,Norwegian
0,13,.,end,that_no-gap_subj,2.4171080589294434,Wh,Norwegian
0,14,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
1,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
1,1,Han,prefix,that_no-gap_subj,2.9629580974578857,Wh,Norwegian
1,2,fant,prefix,that_no-gap_subj,6.782555103302002,Wh,Norwegian
1,3,ut,prefix,that_no-gap_subj,2.3333423137664795,Wh,Norwegian
1,4,at,that,that_no-gap_subj,0.060307055711746216,Wh,Norwegian
1,5,brevet,subj,that_no-gap_subj,9.350641250610352,Wh,Norwegian
1,6,inneholdt,verb,that_no-gap_subj,4.287260055541992,Wh,Norwegian
1,7,kritikk,obj,that_no-gap_subj,7.699833869934082,Wh,Norwegian
1,8,av,obj,that_no-gap_subj,0.7538824081420898,Wh,Norwegian
1,9,loven,obj,that_no-gap_subj,7.827740669250488,Wh,Norwegian
1,10,forrige,end,that_no-gap_subj,13.932801246643066,Wh,Norwegian
1,11,fredag,end,that_no-gap_subj,9.63619327545166,Wh,Norwegian
1,13,.,end,that_no-gap_subj,1.8624924421310425,Wh,Norwegian
1,14,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
2,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
2,1,Martha,prefix,that_no-gap_subj,10.92938232421875,Wh,Norwegian
2,2,oppdaget,prefix,that_no-gap_subj,8.889886856079102,Wh,Norwegian
2,3,at,that,that_no-gap_subj,1.0886518955230713,Wh,Norwegian
2,4,opplysningene,subj,that_no-gap_subj,10.637275695800781,Wh,Norwegian
2,5,vil,verb,that_no-gap_subj,7.48989200592041,Wh,Norwegian
2,6,bekrefte,verb,that_no-gap_subj,6.428098678588867,Wh,Norwegian
2,7,mistanken,obj,that_no-gap_subj,8.639325141906738,Wh,Norwegian
2,8,under,end,that_no-gap_subj,6.39320182800293,Wh,Norwegian
2,9,rettssaken,end,that_no-gap_subj,3.1397833824157715,Wh,Norwegian
2,11,.,end,that_no-gap_subj,1.037778615951538,Wh,Norwegian
2,12,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
3,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
3,1,Journalisten,prefix,that_no-gap_subj,10.937789916992188,Wh,Norwegian
3,2,kan,prefix,that_no-gap_subj,6.292798042297363,Wh,Norwegian
3,3,gjette,prefix,that_no-gap_subj,9.495033264160156,Wh,Norwegian
3,4,at,that,that_no-gap_subj,5.065394401550293,Wh,Norwegian
3,5,intervjuet,subj,that_no-gap_subj,10.038519859313965,Wh,Norwegian
3,6,kunne,verb,that_no-gap_subj,5.617287635803223,Wh,Norwegian
3,7,forårsake,verb,that_no-gap_subj,8.23420524597168,Wh,Norwegian
3,8,kontrovers,obj,that_no-gap_subj,9.198943138122559,Wh,Norwegian
3,9,mellom,end,that_no-gap_subj,4.555844306945801,Wh,Norwegian
3,10,folk,end,that_no-gap_subj,4.817873954772949,Wh,Norwegian
3,12,.,end,that_no-gap_subj,2.5878381729125977,Wh,Norwegian
3,13,<eos>,end,that_no-gap_subj,0.0,Wh,Norwegian
4,0,<eos>,prefix,that_no-gap_subj,0.0,Wh,Norwegian
4,1,Greta,prefix,that_no-gap_subj,11.546186447143555,Wh,Norwegian
4,2,fortalte,prefix,that_no-gap_subj,8.948164939880371,Wh,Norwegian
4,3,at,that,that_no-gap_subj,1.9955754280090332,Wh,Norwegian
4,4,forsamlingen,subj,that_no-gap_subj,11.450787544250488,Wh,Norwegian
4,5,skulle,verb,that_no-gap_subj,3.0773472785949707,Wh,Norwegian
4,6,endre,verb,that_no-gap_subj,6.688469886779785,Wh,Norwegian
4,7,lovene,obj,that_no-gap_subj,5.2932891845703125,Wh,Norwegian
4,8,det,end,that_no-gap_subj,7.508725166320801,Wh,Norwegian
