"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
0,"no-gap","decl-comp",-0.5,0.832765579223633,0.0938706264685657,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"no-gap","decl-comp",-0.5,0.957274436950684,0.135608665513081,"RC","Norwegian","Norwegian - RC","GPT2"
0,"no-gap","decl-comp",-0.5,1.02368354797363,0.107014673487806,"Wh","English","English - Wh","GPT2"
0,"no-gap","whether-comp",-0.5,0.658318638801575,0.069164814533726,"Wh","English","English - Wh","GPT2"
0,"no-gap","whether-comp",-0.5,2.61924362182617,0.135330715124439,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"no-gap","whether-comp",-0.5,3.7722692489624,0.177966204451186,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","decl-comp",0.5,-3.99080204963684,0.135608665513081,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","decl-comp",0.5,-2.19812154769897,0.0938706264685657,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"gap","decl-comp",0.5,-1.73563647270203,0.107014673487806,"Wh","English","English - Wh","GPT2"
0,"gap","whether-comp",0.5,-2.66363894939423,0.177966204451186,"RC","Norwegian","Norwegian - RC","GPT2"
0,"gap","whether-comp",0.5,-2.34531784057617,0.135330715124439,"Wh","Norwegian","Norwegian - Wh","GPT2"
0,"gap","whether-comp",0.5,-0.484549880027771,0.069164814533726,"Wh","English","English - Wh","GPT2"
1,"no-gap","decl-comp",-0.5,0.510394096374512,0.0938706264685657,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"no-gap","decl-comp",-0.5,0.977542161941528,0.107014673487806,"Wh","English","English - Wh","GPT2"
1,"no-gap","decl-comp",-0.5,1.05058670043945,0.135608665513081,"RC","Norwegian","Norwegian - RC","GPT2"
1,"no-gap","whether-comp",-0.5,0.430041313171387,0.177966204451186,"RC","Norwegian","Norwegian - RC","GPT2"
1,"no-gap","whether-comp",-0.5,1.02451658248901,0.069164814533726,"Wh","English","English - Wh","GPT2"
1,"no-gap","whether-comp",-0.5,1.6694450378418,0.135330715124439,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"gap","decl-comp",0.5,-1.44169282913208,0.135608665513081,"RC","Norwegian","Norwegian - RC","GPT2"
1,"gap","decl-comp",0.5,-0.635719537734985,0.107014673487806,"Wh","English","English - Wh","GPT2"
1,"gap","decl-comp",0.5,-0.606469631195068,0.0938706264685657,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"gap","whether-comp",0.5,-1.82179617881775,0.135330715124439,"Wh","Norwegian","Norwegian - Wh","GPT2"
1,"gap","whether-comp",0.5,-1.3900134563446,0.177966204451186,"RC","Norwegian","Norwegian - RC","GPT2"
1,"gap","whether-comp",0.5,-0.600727677345276,0.069164814533726,"Wh","English","English - Wh","GPT2"
2,"no-gap","decl-comp",-0.5,0.291682362556458,0.107014673487806,"Wh","English","English - Wh","GPT2"
2,"no-gap","decl-comp",-0.5,2.30193138122559,0.0938706264685657,"Wh","Norwegian","Norwegian - Wh","GPT2"
2,"no-gap","decl-comp",-0.5,2.50353097915649,0.135608665513081,"RC","Norwegian","Norwegian - RC","GPT2"
2,"no-gap","whether-comp",-0.5,0.179388880729675,0.069164814533726,"Wh","English","English - Wh","GPT2"
2,"no-gap","whether-comp",-0.5,1.51170206069946,0.135330715124439,"Wh","Norwegian","Norwegian - Wh","GPT2"
2,"no-gap","whether-comp",-0.5,2.03772878646851,0.177966204451186,"RC","Norwegian","Norwegian - RC","GPT2"
2,"gap","decl-comp",0.5,-2.22734785079956,0.135608665513081,"RC","Norwegian","Norwegian - RC","GPT2"
2,"gap","decl-comp",0.5,-1.39226818084717,0.0938706264685657,"Wh","Norwegian","Norwegian - Wh","GPT2"
2,"gap","decl-comp",0.5,-1.01691156625748,0.107014673487806,"Wh","English","English - Wh","GPT2"
