sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<eos>,prefix,that_no-gap_1,0.0,Wh,Norwegian
0,1,Hun,prefix,that_no-gap_1,4.173917770385742,Wh,Norwegian
0,2,vet,prefix,that_no-gap_1,8.657347679138184,Wh,Norwegian
0,3,at,that,that_no-gap_1,1.334837555885315,Wh,Norwegian
0,4,presten,subj,that_no-gap_1,8.490565299987793,Wh,Norwegian
0,5,avslørte,verb,that_no-gap_1,10.71274185180664,Wh,Norwegian
0,6,hemmeligheten,obj,that_no-gap_1,5.1544318199157715,Wh,Norwegian
0,7,på,end,that_no-gap_1,3.614161968231201,Wh,Norwegian
0,8,festen,end,that_no-gap_1,7.415736198425293,Wh,Norwegian
0,10,.,end,that_no-gap_1,1.8886923789978027,Wh,Norwegian
0,11,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
1,0,<eos>,prefix,that_no-gap_1,0.0,Wh,Norwegian
1,1,Hun,prefix,that_no-gap_1,4.173917770385742,Wh,Norwegian
1,2,fortalte,prefix,that_no-gap_1,7.116498947143555,Wh,Norwegian
1,3,ham,prefix,that_no-gap_1,3.6128549575805664,Wh,Norwegian
1,4,at,that,that_no-gap_1,0.34384167194366455,Wh,Norwegian
1,5,hunden,subj,that_no-gap_1,9.032670974731445,Wh,Norwegian
1,6,fanget,verb,that_no-gap_1,10.250954627990723,Wh,Norwegian
1,7,katten,obj,that_no-gap_1,6.325274467468262,Wh,Norwegian
1,8,i,end,that_no-gap_1,2.60719633102417,Wh,Norwegian
1,9,går,end,that_no-gap_1,11.640446662902832,Wh,Norwegian
1,11,.,end,that_no-gap_1,2.944960594177246,Wh,Norwegian
1,12,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
2,0,<eos>,prefix,that_no-gap_1,0.0,Wh,Norwegian
2,1,Han,prefix,that_no-gap_1,2.9629580974578857,Wh,Norwegian
2,2,vet,prefix,that_no-gap_1,8.996025085449219,Wh,Norwegian
