sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
0,1,Jeg,prefix,that_no-gap_that-comp,8.161263465881348,RC,Norwegian
0,2,hørte,prefix,that_no-gap_that-comp,6.426689147949219,RC,Norwegian
0,3,fra,pp-add,that_no-gap_that-comp,5.081838130950928,RC,Norwegian
0,4,noen,pp-add,that_no-gap_that-comp,5.6556196212768555,RC,Norwegian
0,5,at,that1,that_no-gap_that-comp,5.929741859436035,RC,Norwegian
0,6,broren,embed,that_no-gap_that-comp,9.090293884277344,RC,Norwegian
0,7,min,embed,that_no-gap_that-comp,1.415879487991333,RC,Norwegian
0,8,bekreftet,embed,that_no-gap_that-comp,12.308945655822754,RC,Norwegian
0,9,at,that2,that_no-gap_that-comp,1.1204148530960083,RC,Norwegian
0,10,tanten,subj,that_no-gap_that-comp,9.838813781738281,RC,Norwegian
0,11,vår,subj,that_no-gap_that-comp,10.722715377807617,RC,Norwegian
0,12,tok,verb,that_no-gap_that-comp,7.266815185546875,RC,Norwegian
0,13,med,verb,that_no-gap_that-comp,3.692201614379883,RC,Norwegian
0,14,seg,verb,that_no-gap_that-comp,0.9612824320793152,RC,Norwegian
0,15,gaven,obj,that_no-gap_that-comp,9.058368682861328,RC,Norwegian
0,16,til,end,that_no-gap_that-comp,3.586913585662842,RC,Norwegian
0,17,festen,end,that_no-gap_that-comp,11.820157051086426,RC,Norwegian
0,19,.,end,that_no-gap_that-comp,1.2486093044281006,RC,Norwegian
0,20,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
1,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
1,1,Han,prefix,that_no-gap_that-comp,2.869272232055664,RC,Norwegian
1,2,fortalte,prefix,that_no-gap_that-comp,6.735652923583984,RC,Norwegian
1,3,til,pp-add,that_no-gap_that-comp,3.100219249725342,RC,Norwegian
1,4,noen,pp-add,that_no-gap_that-comp,7.004751205444336,RC,Norwegian
1,5,at,that1,that_no-gap_that-comp,3.0514731407165527,RC,Norwegian
1,6,mannen,embed,that_no-gap_that-comp,8.145291328430176,RC,Norwegian
1,7,oppdaget,embed,that_no-gap_that-comp,7.45297384262085,RC,Norwegian
1,8,at,that2,that_no-gap_that-comp,1.332034707069397,RC,Norwegian
1,9,hunden,subj,that_no-gap_that-comp,5.474697113037109,RC,Norwegian
1,10,fanget,verb,that_no-gap_that-comp,7.834560394287109,RC,Norwegian
1,11,katten,obj,that_no-gap_that-comp,8.234817504882812,RC,Norwegian
1,12,i,end,that_no-gap_that-comp,3.1766180992126465,RC,Norwegian
1,13,hagen,end,that_no-gap_that-comp,6.184585094451904,RC,Norwegian
1,15,.,end,that_no-gap_that-comp,1.6894972324371338,RC,Norwegian
1,16,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
2,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
2,1,Vi,prefix,that_no-gap_that-comp,7.956657409667969,RC,Norwegian
2,2,nevnte,prefix,that_no-gap_that-comp,11.377996444702148,RC,Norwegian
2,3,til,pp-add,that_no-gap_that-comp,6.740020275115967,RC,Norwegian
2,4,noen,pp-add,that_no-gap_that-comp,8.767120361328125,RC,Norwegian
2,5,at,that1,that_no-gap_that-comp,5.486481666564941,RC,Norwegian
2,6,assistenten,embed,that_no-gap_that-comp,12.726401329040527,RC,Norwegian
2,7,vår,embed,that_no-gap_that-comp,8.970836639404297,RC,Norwegian
2,8,bekreftet,embed,that_no-gap_that-comp,9.690061569213867,RC,Norwegian
2,9,at,that2,that_no-gap_that-comp,1.0810102224349976,RC,Norwegian
2,10,komiteen,subj,that_no-gap_that-comp,13.798181533813477,RC,Norwegian
2,11,leverte,verb,that_no-gap_that-comp,7.311122894287109,RC,Norwegian
2,12,rapporten,obj,that_no-gap_that-comp,4.737580299377441,RC,Norwegian
2,13,innen,end,that_no-gap_that-comp,9.46639347076416,RC,Norwegian
2,14,fristen,end,that_no-gap_that-comp,3.3906502723693848,RC,Norwegian
2,16,.,end,that_no-gap_that-comp,1.0837806463241577,RC,Norwegian
2,17,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
3,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
3,1,Eieren,prefix,that_no-gap_that-comp,9.843697547912598,RC,Norwegian
3,2,fant,prefix,that_no-gap_that-comp,7.620219707489014,RC,Norwegian
3,3,ut,prefix,that_no-gap_that-comp,2.1264286041259766,RC,Norwegian
3,4,fra,pp-add,that_no-gap_that-comp,5.636647701263428,RC,Norwegian
3,5,noen,pp-add,that_no-gap_that-comp,6.563899993896484,RC,Norwegian
3,6,at,that1,that_no-gap_that-comp,4.595799922943115,RC,Norwegian
3,7,jeg,embed,that_no-gap_that-comp,10.161785125732422,RC,Norwegian
3,8,oppdaget,embed,that_no-gap_that-comp,8.265426635742188,RC,Norwegian
3,9,at,that2,that_no-gap_that-comp,2.2899694442749023,RC,Norwegian
3,10,vannet,subj,that_no-gap_that-comp,7.813648223876953,RC,Norwegian
3,11,ødela,verb,that_no-gap_that-comp,9.608250617980957,RC,Norwegian
3,12,det,obj,that_no-gap_that-comp,3.3631086349487305,RC,Norwegian
3,13,nye,obj,that_no-gap_that-comp,6.704825401306152,RC,Norwegian
3,14,teppet,obj,that_no-gap_that-comp,11.597993850708008,RC,Norwegian
3,15,under,end,that_no-gap_that-comp,5.399005889892578,RC,Norwegian
3,16,flommen,end,that_no-gap_that-comp,8.698502540588379,RC,Norwegian
3,18,.,end,that_no-gap_that-comp,0.8036447763442993,RC,Norwegian
3,19,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
4,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
4,1,Komiteen,prefix,that_no-gap_that-comp,9.960494041442871,RC,Norwegian
4,2,hadde,prefix,that_no-gap_that-comp,3.422036647796631,RC,Norwegian
4,3,skrevet,prefix,that_no-gap_that-comp,8.020539283752441,RC,Norwegian
4,4,til,pp-add,that_no-gap_that-comp,2.664936065673828,RC,Norwegian
4,5,noen,pp-add,that_no-gap_that-comp,6.901675224304199,RC,Norwegian
4,6,at,that1,that_no-gap_that-comp,6.269551753997803,RC,Norwegian
4,7,læreren,embed,that_no-gap_that-comp,11.99211311340332,RC,Norwegian
4,8,avslørte,embed,that_no-gap_that-comp,10.277589797973633,RC,Norwegian
4,9,at,that2,that_no-gap_that-comp,1.5491135120391846,RC,Norwegian
4,10,studenten,subj,that_no-gap_that-comp,6.436944961547852,RC,Norwegian
4,11,stjal,verb,that_no-gap_that-comp,8.797442436218262,RC,Norwegian
4,12,svarene,obj,that_no-gap_that-comp,6.352066516876221,RC,Norwegian
4,13,til,obj,that_no-gap_that-comp,3.7661561965942383,RC,Norwegian
4,14,eksamen,obj,that_no-gap_that-comp,5.579675197601318,RC,Norwegian
4,15,forrige,end,that_no-gap_that-comp,12.448974609375,RC,Norwegian
4,16,semester,end,that_no-gap_that-comp,6.214659690856934,RC,Norwegian
4,18,.,end,that_no-gap_that-comp,0.9224781394004822,RC,Norwegian
4,19,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
5,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
5,1,Avisen,prefix,that_no-gap_that-comp,7.908231258392334,RC,Norwegian
5,2,fikk,prefix,that_no-gap_that-comp,4.347923278808594,RC,Norwegian
5,3,høre,prefix,that_no-gap_that-comp,11.978309631347656,RC,Norwegian
5,4,fra,pp-add,that_no-gap_that-comp,2.1229052543640137,RC,Norwegian
5,5,noen,pp-add,that_no-gap_that-comp,5.345783710479736,RC,Norwegian
5,6,at,that1,that_no-gap_that-comp,4.947536945343018,RC,Norwegian
5,7,forskeren,embed,that_no-gap_that-comp,11.446344375610352,RC,Norwegian
5,8,kunne,embed,that_no-gap_that-comp,6.16255521774292,RC,Norwegian
5,9,fortelle,embed,that_no-gap_that-comp,3.536231517791748,RC,Norwegian
5,10,at,that2,that_no-gap_that-comp,1.4988666772842407,RC,Norwegian
5,11,selgeren,subj,that_no-gap_that-comp,12.279438018798828,RC,Norwegian
5,12,forfalsket,verb,that_no-gap_that-comp,10.514110565185547,RC,Norwegian
5,13,maleriet,obj,that_no-gap_that-comp,6.080941677093506,RC,Norwegian
5,14,ved,end,that_no-gap_that-comp,4.229416847229004,RC,Norwegian
5,15,hjelp,end,that_no-gap_that-comp,3.4647440910339355,RC,Norwegian
5,16,av,end,that_no-gap_that-comp,0.0033401434775441885,RC,Norwegian
5,17,moderne,end,that_no-gap_that-comp,8.757404327392578,RC,Norwegian
5,18,teknologi,end,that_no-gap_that-comp,3.3640265464782715,RC,Norwegian
5,20,.,end,that_no-gap_that-comp,0.6857045292854309,RC,Norwegian
5,21,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
6,0,<eos>,prefix,that_no-gap_that-comp,0.0,RC,Norwegian
6,1,Dommeren,prefix,that_no-gap_that-comp,10.827417373657227,RC,Norwegian
6,2,fant,prefix,that_no-gap_that-comp,3.5439276695251465,RC,Norwegian
6,3,ut,prefix,that_no-gap_that-comp,1.6747580766677856,RC,Norwegian
