sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
0,1,Hun,prefix,that_no-gap_1,10.106698036193848,Wh,Norwegian
0,2,vet,prefix,that_no-gap_1,8.507035255432129,Wh,Norwegian
0,3,at,that,that_no-gap_1,1.0494192838668823,Wh,Norwegian
0,4,presten,subj,that_no-gap_1,8.460309028625488,Wh,Norwegian
0,5,avslørte,verb,that_no-gap_1,10.501286506652832,Wh,Norwegian
0,6,hemmeligheten,obj,that_no-gap_1,5.220581531524658,Wh,Norwegian
0,7,på,end,that_no-gap_1,3.415113925933838,Wh,Norwegian
0,8,festen,end,that_no-gap_1,7.5700554847717285,Wh,Norwegian
0,10,.,end,that_no-gap_1,1.3454281091690063,Wh,Norwegian
0,11,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
1,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
1,1,Hun,prefix,that_no-gap_1,10.106698036193848,Wh,Norwegian
1,2,fortalte,prefix,that_no-gap_1,6.8670501708984375,Wh,Norwegian
1,3,ham,prefix,that_no-gap_1,3.258763551712036,Wh,Norwegian
1,4,at,that,that_no-gap_1,0.4457692503929138,Wh,Norwegian
1,5,hunden,subj,that_no-gap_1,8.996003150939941,Wh,Norwegian
1,6,fanget,verb,that_no-gap_1,10.270669937133789,Wh,Norwegian
1,7,katten,obj,that_no-gap_1,6.44158411026001,Wh,Norwegian
1,8,i,end,that_no-gap_1,2.5121099948883057,Wh,Norwegian
1,9,går,end,that_no-gap_1,11.5961332321167,Wh,Norwegian
1,11,.,end,that_no-gap_1,2.5944323539733887,Wh,Norwegian
1,12,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
2,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
2,1,Han,prefix,that_no-gap_1,8.894562721252441,Wh,Norwegian
2,2,vet,prefix,that_no-gap_1,9.373198509216309,Wh,Norwegian
2,3,at,that,that_no-gap_1,0.7924317121505737,Wh,Norwegian
2,4,komitéen,subj,that_no-gap_1,13.779471397399902,Wh,Norwegian
2,5,leverte,verb,that_no-gap_1,8.244626998901367,Wh,Norwegian
2,6,rapporten,obj,that_no-gap_1,7.222370624542236,Wh,Norwegian
2,7,innen,end,that_no-gap_1,8.041257858276367,Wh,Norwegian
2,8,fristen,end,that_no-gap_1,4.209277629852295,Wh,Norwegian
2,10,.,end,that_no-gap_1,1.8176352977752686,Wh,Norwegian
2,11,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
3,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
3,1,De,prefix,that_no-gap_1,8.797942161560059,Wh,Norwegian
3,2,husker,prefix,that_no-gap_1,13.959360122680664,Wh,Norwegian
3,3,at,that,that_no-gap_1,3.0558600425720215,Wh,Norwegian
3,4,forretningsmannen,subj,that_no-gap_1,12.70681381225586,Wh,Norwegian
3,5,presenterte,verb,that_no-gap_1,12.603863716125488,Wh,Norwegian
3,6,foredraget,obj,that_no-gap_1,10.805636405944824,Wh,Norwegian
3,7,etter,end,that_no-gap_1,4.610714435577393,Wh,Norwegian
3,8,lunsj,end,that_no-gap_1,9.993017196655273,Wh,Norwegian
3,10,.,end,that_no-gap_1,1.677643895149231,Wh,Norwegian
3,11,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
4,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
4,1,Hun,prefix,that_no-gap_1,10.106698036193848,Wh,Norwegian
4,2,fortalte,prefix,that_no-gap_1,6.8670501708984375,Wh,Norwegian
4,3,ham,prefix,that_no-gap_1,3.258763551712036,Wh,Norwegian
4,4,at,that,that_no-gap_1,0.4457692503929138,Wh,Norwegian
4,5,studenten,subj,that_no-gap_1,11.813586235046387,Wh,Norwegian
4,6,forfalsket,verb,that_no-gap_1,9.461784362792969,Wh,Norwegian
4,7,svarene,obj,that_no-gap_1,9.639788627624512,Wh,Norwegian
4,8,forrige,end,that_no-gap_1,12.081600189208984,Wh,Norwegian
4,9,semester,end,that_no-gap_1,5.6480278968811035,Wh,Norwegian
4,11,.,end,that_no-gap_1,0.7692779898643494,Wh,Norwegian
4,12,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
5,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
5,1,Hun,prefix,that_no-gap_1,10.106698036193848,Wh,Norwegian
5,2,vet,prefix,that_no-gap_1,8.507035255432129,Wh,Norwegian
5,3,at,that,that_no-gap_1,1.0494192838668823,Wh,Norwegian
5,4,selgeren,subj,that_no-gap_1,11.46108341217041,Wh,Norwegian
5,5,forfalsket,verb,that_no-gap_1,9.89745044708252,Wh,Norwegian
5,6,maleriet,obj,that_no-gap_1,7.9932098388671875,Wh,Norwegian
5,7,for,end,that_no-gap_1,2.438485622406006,Wh,Norwegian
5,8,en,end,that_no-gap_1,3.144603729248047,Wh,Norwegian
5,9,kort,end,that_no-gap_1,4.106489181518555,Wh,Norwegian
5,10,stund,end,that_no-gap_1,2.2495999336242676,Wh,Norwegian
5,11,siden,end,that_no-gap_1,4.44367790222168,Wh,Norwegian
5,13,.,end,that_no-gap_1,2.702505588531494,Wh,Norwegian
5,14,<eos>,end,that_no-gap_1,0.0,Wh,Norwegian
6,0,<bos>,bos,that_no-gap_1,0.0,Wh,Norwegian
6,1,De,prefix,that_no-gap_1,8.797942161560059,Wh,Norwegian
6,2,husker,prefix,that_no-gap_1,13.959360122680664,Wh,Norwegian
6,3,at,that,that_no-gap_1,3.0558600425720215,Wh,Norwegian
6,4,fangen,subj,that_no-gap_1,11.187566757202148,Wh,Norwegian
6,5,smuglet,verb,that_no-gap_1,10.080114364624023,Wh,Norwegian
6,6,en,obj,that_no-gap_1,3.1790175437927246,Wh,Norwegian
6,7,pistol,obj,that_no-gap_1,4.986309051513672,Wh,Norwegian
6,8,for,end,that_no-gap_1,3.5204315185546875,Wh,Norwegian
6,9,to,end,that_no-gap_1,7.665585517883301,Wh,Norwegian
