sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<bos>,bos,that_no-gap_1,0.0,Wh,English
0,1,She,prefix,that_no-gap_1,9.726874351501465,Wh,English
0,2,knows,prefix,that_no-gap_1,7.894536972045898,Wh,English
0,3,that,that,that_no-gap_1,1.4562187194824219,Wh,English
0,4,the,subj,that_no-gap_1,1.827688455581665,Wh,English
0,5,priest,subj,that_no-gap_1,8.154911041259766,Wh,English
0,6,revealed,verb,that_no-gap_1,10.476696968078613,Wh,English
0,7,the,obj,that_no-gap_1,2.2070298194885254,Wh,English
0,8,secret,obj,that_no-gap_1,3.330639362335205,Wh,English
0,9,at,end,that_no-gap_1,5.177172660827637,Wh,English
0,10,the,end,that_no-gap_1,0.7846513986587524,Wh,English
0,11,party,end,that_no-gap_1,5.745741844177246,Wh,English
0,13,.,end,that_no-gap_1,2.8110854625701904,Wh,English
0,14,<eos>,end,that_no-gap_1,0.0,Wh,English
1,0,<bos>,bos,that_no-gap_1,0.0,Wh,English
1,1,She,prefix,that_no-gap_1,9.726874351501465,Wh,English
1,2,told,prefix,that_no-gap_1,6.865019798278809,Wh,English
1,3,him,prefix,that_no-gap_1,2.8098344802856445,Wh,English
1,4,that,that,that_no-gap_1,0.8633065223693848,Wh,English
1,5,the,subj,that_no-gap_1,1.9608467817306519,Wh,English
1,6,dog,subj,that_no-gap_1,7.7549357414245605,Wh,English
1,7,caught,verb,that_no-gap_1,7.778965950012207,Wh,English
1,8,the,obj,that_no-gap_1,1.8163552284240723,Wh,English
1,9,cat,obj,that_no-gap_1,4.717139720916748,Wh,English
1,10,yesterday,end,that_no-gap_1,12.65483283996582,Wh,English
1,12,.,end,that_no-gap_1,1.1983741521835327,Wh,English
1,13,<eos>,end,that_no-gap_1,0.0,Wh,English
2,0,<bos>,bos,that_no-gap_1,0.0,Wh,English
2,1,He,prefix,that_no-gap_1,7.99182653427124,Wh,English
2,2,knows,prefix,that_no-gap_1,8.149154663085938,Wh,English
2,3,that,that,that_no-gap_1,1.537827491760254,Wh,English
2,4,the,subj,that_no-gap_1,1.5974786281585693,Wh,English
2,5,committee,subj,that_no-gap_1,9.220170974731445,Wh,English
2,6,delivered,verb,that_no-gap_1,9.75809097290039,Wh,English
2,7,the,obj,that_no-gap_1,1.8883514404296875,Wh,English
2,8,report,obj,that_no-gap_1,3.105010509490967,Wh,English
2,9,within,end,that_no-gap_1,7.806182861328125,Wh,English
2,10,the,end,that_no-gap_1,1.3043301105499268,Wh,English
2,11,deadline,end,that_no-gap_1,7.715059757232666,Wh,English
2,13,.,end,that_no-gap_1,1.4807785749435425,Wh,English
2,14,<eos>,end,that_no-gap_1,0.0,Wh,English
3,0,<bos>,bos,that_no-gap_1,0.0,Wh,English
3,1,They,prefix,that_no-gap_1,9.337517738342285,Wh,English
3,2,remember,prefix,that_no-gap_1,9.977871894836426,Wh,English
3,3,that,that,that_no-gap_1,2.26517915725708,Wh,English
3,4,the,subj,that_no-gap_1,1.467320442199707,Wh,English
3,5,businessman,subj,that_no-gap_1,11.831323623657227,Wh,English
3,6,presented,verb,that_no-gap_1,8.184892654418945,Wh,English
3,7,the,obj,that_no-gap_1,1.7080013751983643,Wh,English
3,8,proposal,obj,that_no-gap_1,5.366138935089111,Wh,English
3,9,after,end,that_no-gap_1,6.192721843719482,Wh,English
3,10,lunch,end,that_no-gap_1,7.923015117645264,Wh,English
3,12,.,end,that_no-gap_1,1.9054125547409058,Wh,English
3,13,<eos>,end,that_no-gap_1,0.0,Wh,English
4,0,<bos>,bos,that_no-gap_1,0.0,Wh,English
4,1,She,prefix,that_no-gap_1,9.726874351501465,Wh,English
4,2,told,prefix,that_no-gap_1,6.865019798278809,Wh,English
4,3,him,prefix,that_no-gap_1,2.8098344802856445,Wh,English
4,4,that,that,that_no-gap_1,0.8633065223693848,Wh,English
4,5,the,subj,that_no-gap_1,1.9608467817306519,Wh,English
4,6,student,subj,that_no-gap_1,8.541387557983398,Wh,English
4,7,falsified,verb,that_no-gap_1,11.936610221862793,Wh,English
4,8,the,obj,that_no-gap_1,1.6866275072097778,Wh,English
4,9,answers,obj,that_no-gap_1,6.322847366333008,Wh,English
4,10,last,end,that_no-gap_1,11.024043083190918,Wh,English
4,11,semester,end,that_no-gap_1,7.64312219619751,Wh,English
4,13,.,end,that_no-gap_1,1.301063895225525,Wh,English
4,14,<eos>,end,that_no-gap_1,0.0,Wh,English
5,0,<bos>,bos,that_no-gap_1,0.0,Wh,English
5,1,She,prefix,that_no-gap_1,9.726874351501465,Wh,English
