"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
0,"no-gap","decl-comp",-0.5,0.38480281829834,0.105597072279368,"Wh","English","English - Wh","LSTM"
0,"no-gap","decl-comp",-0.5,1.53658008575439,0.115791157418023,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"no-gap","decl-comp",-0.5,1.77764987945557,0.135583889768683,"RC","Norwegian","Norwegian - RC","LSTM"
0,"no-gap","whether-comp",-0.5,0.246555328369141,0.0275282864523317,"Wh","English","English - Wh","LSTM"
0,"no-gap","whether-comp",-0.5,1.39276695251465,0.123696983855857,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"no-gap","whether-comp",-0.5,1.97843837738037,0.13345640283188,"RC","Norwegian","Norwegian - RC","LSTM"
0,"gap","decl-comp",0.5,-2.02521014213562,0.115791157418023,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"gap","decl-comp",0.5,-1.8770797252655,0.135583889768683,"RC","Norwegian","Norwegian - RC","LSTM"
0,"gap","decl-comp",0.5,-0.500883102416992,0.105597072279368,"Wh","English","English - Wh","LSTM"
0,"gap","whether-comp",0.5,-2.05165433883667,0.13345640283188,"RC","Norwegian","Norwegian - RC","LSTM"
0,"gap","whether-comp",0.5,-1.68625783920288,0.123696983855857,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"gap","whether-comp",0.5,-0.227138757705688,0.0275282864523317,"Wh","English","English - Wh","LSTM"
1,"no-gap","decl-comp",-0.5,0.208795428276062,0.105597072279368,"Wh","English","English - Wh","LSTM"
1,"no-gap","decl-comp",-0.5,1.6026725769043,0.115791157418023,"Wh","Norwegian","Norwegian - Wh","LSTM"
1,"no-gap","decl-comp",-0.5,2.9896125793457,0.135583889768683,"RC","Norwegian","Norwegian - RC","LSTM"
1,"no-gap","whether-comp",-0.5,0.0132005214691162,0.0275282864523317,"Wh","English","English - Wh","LSTM"
1,"no-gap","whether-comp",-0.5,1.33750009536743,0.123696983855857,"Wh","Norwegian","Norwegian - Wh","LSTM"
1,"no-gap","whether-comp",-0.5,3.40515613555908,0.13345640283188,"RC","Norwegian","Norwegian - RC","LSTM"
1,"gap","decl-comp",0.5,-3.90862202644348,0.135583889768683,"RC","Norwegian","Norwegian - RC","LSTM"
1,"gap","decl-comp",0.5,-2.29666543006897,0.115791157418023,"Wh","Norwegian","Norwegian - Wh","LSTM"
1,"gap","decl-comp",0.5,-0.188200235366821,0.105597072279368,"Wh","English","English - Wh","LSTM"
