sent_index,word_index,word,region,condition,surprisal,dependency,language
0,0,<bos>,bos,that_no-gap_that-comp,0.0,RC,Norwegian
0,1,Hun,prefix,that_no-gap_that-comp,10.106698036193848,RC,Norwegian
0,2,snakket,prefix,that_no-gap_that-comp,7.3843889236450195,RC,Norwegian
0,3,med,pp-add,that_no-gap_that-comp,1.9731318950653076,RC,Norwegian
0,4,noen,pp-add,that_no-gap_that-comp,5.252031326293945,RC,Norwegian
0,5,om,pp-add,that_no-gap_that-comp,3.426852226257324,RC,Norwegian
0,6,at,that1,that_no-gap_that-comp,1.9418610334396362,RC,Norwegian
0,7,designeren,embed,that_no-gap_that-comp,14.21461009979248,RC,Norwegian
0,8,spesifiserte,embed,that_no-gap_that-comp,11.24872875213623,RC,Norwegian
0,9,at,that2,that_no-gap_that-comp,1.504698395729065,RC,Norwegian
0,10,hylla,subj,that_no-gap_that-comp,16.60588836669922,RC,Norwegian
0,11,skulle,verb,that_no-gap_that-comp,1.3281893730163574,RC,Norwegian
0,12,monteres,verb,that_no-gap_that-comp,9.581879615783691,RC,Norwegian
0,13,i,adjunct,that_no-gap_that-comp,1.4562571048736572,RC,Norwegian
0,14,gangen,adjunct,that_no-gap_that-comp,8.827974319458008,RC,Norwegian
0,15,så,end,that_no-gap_that-comp,7.118239402770996,RC,Norwegian
0,16,snart,end,that_no-gap_that-comp,2.138427257537842,RC,Norwegian
0,17,som,end,that_no-gap_that-comp,2.6042799949645996,RC,Norwegian
0,18,mulig,end,that_no-gap_that-comp,0.07856040447950363,RC,Norwegian
0,20,.,end,that_no-gap_that-comp,0.32523998618125916,RC,Norwegian
0,21,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
1,0,<bos>,bos,that_no-gap_that-comp,0.0,RC,Norwegian
1,1,Han,prefix,that_no-gap_that-comp,8.894562721252441,RC,Norwegian
1,2,nevnte,prefix,that_no-gap_that-comp,9.434537887573242,RC,Norwegian
1,3,til,pp-add,that_no-gap_that-comp,5.073398590087891,RC,Norwegian
1,4,noen,pp-add,that_no-gap_that-comp,6.01739501953125,RC,Norwegian
1,5,at,that1,that_no-gap_that-comp,4.1617865562438965,RC,Norwegian
1,6,læreren,embed,that_no-gap_that-comp,9.642480850219727,RC,Norwegian
1,7,visste,embed,that_no-gap_that-comp,5.714158058166504,RC,Norwegian
1,8,at,that2,that_no-gap_that-comp,0.945166826248169,RC,Norwegian
1,9,maten,subj,that_no-gap_that-comp,10.375269889831543,RC,Norwegian
1,10,ble,verb,that_no-gap_that-comp,3.5121757984161377,RC,Norwegian
1,11,kjøpt,verb,that_no-gap_that-comp,5.939436912536621,RC,Norwegian
1,12,før,adjunct,that_no-gap_that-comp,4.297811508178711,RC,Norwegian
1,13,møtet,adjunct,that_no-gap_that-comp,7.77824068069458,RC,Norwegian
1,14,i,end,that_no-gap_that-comp,3.9800729751586914,RC,Norwegian
1,15,høst,end,that_no-gap_that-comp,9.78072452545166,RC,Norwegian
1,17,.,end,that_no-gap_that-comp,1.6390053033828735,RC,Norwegian
1,18,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
2,0,<bos>,bos,that_no-gap_that-comp,0.0,RC,Norwegian
2,1,Jeg,prefix,that_no-gap_that-comp,12.51301097869873,RC,Norwegian
2,2,hørte,prefix,that_no-gap_that-comp,6.616794586181641,RC,Norwegian
2,3,fra,pp-add,that_no-gap_that-comp,5.309666633605957,RC,Norwegian
2,4,noen,pp-add,that_no-gap_that-comp,6.462257385253906,RC,Norwegian
2,5,at,that1,that_no-gap_that-comp,7.355341911315918,RC,Norwegian
2,6,de,embed,that_no-gap_that-comp,2.122544288635254,RC,Norwegian
2,7,måtte,embed,that_no-gap_that-comp,4.896043300628662,RC,Norwegian
2,8,forklare,embed,that_no-gap_that-comp,8.150300025939941,RC,Norwegian
2,9,at,that2,that_no-gap_that-comp,1.9766334295272827,RC,Norwegian
2,10,maskinen,subj,that_no-gap_that-comp,11.099140167236328,RC,Norwegian
2,11,fungerte,verb,that_no-gap_that-comp,7.588865756988525,RC,Norwegian
2,12,på,adjunct,that_no-gap_that-comp,4.117476463317871,RC,Norwegian
2,13,en,adjunct,that_no-gap_that-comp,1.8137869834899902,RC,Norwegian
2,14,uvanlig,adjunct,that_no-gap_that-comp,8.223490715026855,RC,Norwegian
2,15,måte,adjunct,that_no-gap_that-comp,0.058230165392160416,RC,Norwegian
2,16,på,end,that_no-gap_that-comp,5.324956893920898,RC,Norwegian
2,17,kontoret,end,that_no-gap_that-comp,9.047393798828125,RC,Norwegian
2,19,.,end,that_no-gap_that-comp,1.2429044246673584,RC,Norwegian
2,20,<eos>,end,that_no-gap_that-comp,0.0,RC,Norwegian
3,0,<bos>,bos,that_no-gap_that-comp,0.0,RC,Norwegian
3,1,Du,prefix,that_no-gap_that-comp,11.734787940979004,RC,Norwegian
3,2,hørte,prefix,that_no-gap_that-comp,8.493915557861328,RC,Norwegian
3,3,fra,pp-add,that_no-gap_that-comp,4.437215805053711,RC,Norwegian
3,4,noen,pp-add,that_no-gap_that-comp,6.847192764282227,RC,Norwegian
3,5,om,pp-add,that_no-gap_that-comp,6.595864295959473,RC,Norwegian
3,6,at,that1,that_no-gap_that-comp,3.6264171600341797,RC,Norwegian
3,7,sjåføren,embed,that_no-gap_that-comp,11.887770652770996,RC,Norwegian
3,8,glemte,embed,that_no-gap_that-comp,8.707038879394531,RC,Norwegian
